0,1,2,3,4,5,6,7,8,9
"Table 39: of the supply of Medical Technologists-LAB according to scenario 2
(+20%)",,,,,,,,"Total population
in BD
(2018, 2024 &
2030)","Density
per 10000"
Year,New registrations,,,"Supply of
previous
year","Attrition
rate
4%",,"Total
Supply",,
,Graduates,Increase,80%,,,,,,
2018,,,,,,,12744,164600000,0.77
2019,671,,537,12744,,510,12771,,
2020,770,,616,12771,,511,12876,,
2021,795,,636,12876,,515,12997,,
2022,707,,566,12997,,520,13043,,
2023,853,,682,13043,,522,13204,,
2024,1024,20%,819,13204,,528,13494,174612904,0.77
2025,1024,,819,13494,,540,13773,,
2026,1024,,819,13773,,551,14041,,
2027,1024,,819,14041,,562,14299,,
2028,1024,,819,14299,,572,14546,,
2029,1024,,819,14546,,582,14783,,
2030,1024,,819,14783,,591,15010,190686952,0.79
Source: BBS Pop Projection 2011-2061,,,,,,,,,
