0,1,2,3
"Table 13: Health workers employed by the Ministry of Health and Family Welfare (DGHS and DGNM), by
occupational category (2021)",,,
Health worker category,Sanctioned posts,Filled posts,% Vacant posts
Doctors,"40,16210","26,61911",33.7%12
Dentists,"1,361",829,39.1%
Nurses,"40,015","35,828",10.5%
Sub-Assistant Community Medical Officers,"5,397","3,661",32.5%
Midwives,"2,996","1,145",61.7%
Medical Technologists,"6,406","3,892",39.2%
Domiciliary Staff,"75,009","59,183",21.1%
Alternative medicine,"1,906","1,053",44.7%
Pharmacists (Category B),"2,982","1,744",41.5%
Total,"176,234","133,210",24.0%
