0,1,2,3,4,5,6,7,8,9
Table 4: Projection of the supply of doctors according to scenarios 3-4,,,,,,,,"Total population
in BD
(2018, 2024 & 2030)","Densi-
ty per
10000"
Year,New registrations,,,,"Supply of
previous
year","Attrition
rate
4%","Total Sup-
ply",,
,Graduates,,Increase,95%,,,,,
2018,,,,,,,76867,164600000,4.67
2019,9390,,,8921,76867,3075,82713,,
2020,8782,,,8343,82713,3309,87747,,
2021,9310,,,8845,87747,3510,93082,,
2022,9256,,,8793,93082,3723,98152,,
2023,9311,,,8845,98152,3926,103071,,
2024,9354,,,8886,103071,4123,107835,174612904,6.18
2025,9354,,,8886,107835,4313,112407,,
2026,9354,,,8886,112407,4496,116797,,
2027,9354,,,8886,116797,4672,121012,,
2028,9354,,,8886,121012,4840,125058,,
2029,9354,,,8886,125058,5002,128942,,
2030,9354,,,8886,128942,5158,132670,190686952,6.96
,,,,,,,Source: BBS Pop Projection 2011-2061,,
