0,1,2,3,4,5,6,7,8
Table 27: Projection of the supply of Diploma nurses according to scenario 2 (+20%),,,,,,,"Total popula-
tion in BD
(2018, 2024 &
2030)","Densi-
ty per
10000"
Year,New registrations,,,"Supply of
previous
year","Attrition
rate
4%","Total Sup-
ply",,
,Graduates,Increase,80%,,,,,
2018,,,,,,50539,164600000,3.07
2019,5394,,4315,50539,2022,52833,,
2020,6711,,5369,52833,2113,56088,,
2021,7742,,6194,56088,2244,60038,,
2022,14984,20%,11988,60038,2402,69624,,
2023,14984,,11988,69624,2785,78827,,
2024,14984,,11988,78827,3153,87661,174612904,5.02
2025,14984,,11988,87661,3506,96142,,
2026,14984,,11988,96142,3846,104284,,
2027,14984,,11988,104284,4171,112100,,
2028,14984,,11988,112100,4484,119604,,
2029,14984,,11988,119604,4784,126807,,
2030,14984,,11988,126807,5072,133722,190686952,7.01
