0,1,2,3,4,5,6,7,8
"Table 89: Projection of the supply of Medical Technologists - Pharmacists
(Category B) according to scenario 3-4 (+10%)",,,,,,,"Total population
in BD
(2018, 2024 & 2030)","Density per
10000"
Year,New registrations,,,"Supply of
previous
year","Attrition
rate
1%","Total
Supply",,
,"Gradu-
ates",Increase,95%,,,,,
2018,,,,,,14454,164600000,0.88
2019,311,,295,14454,145,14605,,
2020,311,,295,14605,146,14754,,
2021,311,,295,14754,148,14902,,
2022,311,,295,14902,149,15049,,
2023,311,,295,15049,150,15194,,
2024,342,10%,325,15194,152,15367,174612904,0.88
2025,342,,325,15367,154,15538,,
2026,342,,325,15538,155,15708,,
2027,342,,325,15708,157,15876,,
2028,342,,325,15876,159,16042,,
2029,342,,325,16042,160,16206,,
2030,342,,325,16206,162,16369,190686952,0.86
Source: BBS Pop Projection 2011-2061,,,,,,,,
