0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
,,500,,333213,,,248265,,,233086,,,211607,,,211607,,277329,,,204345,,110006,
Normal Saline,,1000,,9291,,,17662,,,9783,,,17930,,,17930,,5029,,,‐,,‐,
,,500,,77319,,,68492,,,50536,,,52518,,,52518,,58338,,,67831,,54379,
Cholera Saline,,1000,,118519,,,129986,,,192907,,,10409,,,10409,,1627,,,25304,,108521,
,,500,,308536,,,246718,,,472545,,,280402,,,280402,,182789,,,240473,,69401,
P.D. Fluid,,1000,,93384,,,57657,,,68421,,,53666,,,53666,,61391,,,38109,,52481,
,,500,,20278,,,‐,,,‐,,,‐,,,‐,,‐,,,10291,,3640,
3% Normal Saline,,1000,,‐,,,‐,,,‐,,,‐,,,‐,,‐,,,‐,,‐,
,,500,,5022,,,5107,,,4578,,,6888,,,6888,,6939,,,8456,,7700,
Baby Saline,,1000,,‐,,,‐,,,‐,,,‐,,,‐,,11000,,,12600,,,
,,500,,6717,,,4689,,,14307,,,8245,,,8245,,500,,,‐,,,
Haemodialysis Fluid,,1000,,33510,,,14200,,,21100,,,20650,,,20650,,1000,,,‐,,10500,
,,500,,‐,,,‐,,,‐,,,‐,,,‐,,500,,,8700,,18680,
Hartman’s Solution,,1000,,‐,,,‐,,,‐,,,‐,,,‐,,1000,,,‐,,,
,,500,,31694,,,42710,,,47520,,,70676,,,70676,,500,,,21014,,97752,
