0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Dhaka,,,32,,,Tangail,,,250,,,100,,,150,,,0,,,0,,
,Khulna,,,33,,,Bagerhat,,,100,,,100,,,0,,,150,,,50,
Khulna,,,34,,,Chuadanga,,,100,,,100,,,0,,,150,,,50,,
,Khulna,,,35,,,Jessore,,,250,,,250,,,0,,,0,,,0,
Khulna,,,36,,,Jhenaidah,,,100,,,100,,,0,,,0,,,0,,
,Khulna,,,37,,,Khulna,,,150,,,150,,,0,,,0,,,0,
Khulna,,,38,,,Kustia,,,250,,,150,,,100,,,0,,,0,,
,Khulna,,,39,,,Magura,,,100,,,100,,,0,,,150,,,50,
Khulna,,,40,,,Meherpur,,,100,,,100,,,0,,,0,,,0,,
,Khulna,,,41,,,Narail,,,100,,,100,,,0,,,0,,,0,
Khulna,,,42,,,Satkhira,,,100,,,100,,,0,,,150,,,50,,
,Rajshahi,,,43,,,Bogra,,,250,,,250,,,0,,,0,,,0,
